Date,Adj Close,Close,High,Low,Open,Volume,Daily Return %,High-Low Gap,Open-Close Change
2026-03-02,1358.0,1358.0,1378.5999755859375,1341.5,1375.5,23728722,,37.0999755859375,-17.5
2026-03-04,1345.0,1345.0,1352.800048828125,1307.0,1330.0,32495007,-0.9572901325478611,45.800048828125,15.0
2026-03-05,1389.4000244140625,1389.4000244140625,1399.0,1353.0999755859375,1353.0999755859375,25957532,3.301117056807623,45.9000244140625,36.300048828125
2026-03-06,1404.800048828125,1404.800048828125,1424.300048828125,1390.300048828125,1396.5,19311971,1.1083938493924306,34.0,8.300048828125
2026-03-09,1424.0,1424.0,1429.4000244140625,1370.0,1375.0,24870822,1.3667390734995788,59.4000244140625,49.0
2026-03-10,1408.800048828125,1408.800048828125,1431.5,1400.5999755859375,1430.5999755859375,18071259,-1.0674123013957204,30.9000244140625,-21.7999267578125
2026-03-11,1390.199951171875,1390.199951171875,1434.0,1383.5999755859375,1424.9000244140625,21848087,-1.3202794585166266,50.4000244140625,-34.7000732421875
2026-03-12,1392.199951171875,1392.199951171875,1410.9000244140625,1381.0999755859375,1390.0,20939959,0.14386419725551658,29.800048828125,2.199951171875
2026-03-13,1380.699951171875,1380.699951171875,1400.800048828125,1378.4000244140625,1385.199951171875,17265090,-0.8260307716804527,22.4000244140625,-4.5
2026-03-16,1395.0999755859375,1395.0999755859375,1397.300048828125,1363.5,1380.0,22837802,1.0429510337738757,33.800048828125,15.0999755859375
2026-03-17,1397.5999755859375,1397.5999755859375,1405.9000244140625,1388.199951171875,1399.0,19007744,0.179198626890531,17.7000732421875,-1.4000244140625
2026-03-18,1408.0999755859375,1408.0999755859375,1412.9000244140625,1397.199951171875,1397.199951171875,9559327,0.7512879352761903,15.7000732421875,10.9000244140625
2026-03-19,1384.800048828125,1384.800048828125,1415.699951171875,1376.0999755859375,1388.0,16498373,-1.6547068504931262,39.5999755859375,-3.199951171875
2026-03-20,1414.4000244140625,1414.4000244140625,1430.0,1396.0999755859375,1398.0,22994918,2.1374909403697906,33.9000244140625,16.4000244140625
2026-03-23,1407.800048828125,1407.800048828125,1415.5999755859375,1391.0,1400.0,18979554,-0.466627225114169,24.5999755859375,7.800048828125
2026-03-24,1411.800048828125,1411.800048828125,1422.4000244140625,1406.5999755859375,1420.0,18620893,0.2841312587912981,15.800048828125,-8.199951171875
2026-03-25,1413.0999755859375,1413.0999755859375,1430.5,1408.4000244140625,1420.0,19041331,0.09207584026444948,22.0999755859375,-6.9000244140625
2026-03-27,1348.0999755859375,1348.0999755859375,1404.699951171875,1345.0,1401.0,23266517,-4.5998160868305105,59.699951171875,-52.9000244140625
2026-03-30,1343.9000244140625,1343.9000244140625,1365.0,1334.0999755859375,1335.0,24391439,-0.3115459719557956,30.9000244140625,8.9000244140625
