Date,Adj Close,Close,High,Low,Open,Volume,Daily Return %,High-Low Gap,Open-Close Change
2026-03-09,2527.39990234375,2527.39990234375,2560.0,2505.0,2530.0,3653428,,55.0,-2.60009765625
2026-03-10,2513.10009765625,2513.10009765625,2545.199951171875,2490.10009765625,2541.0,4323710,-0.5657911387208392,55.099853515625,-27.89990234375
2026-03-11,2464.89990234375,2464.89990234375,2521.0,2460.10009765625,2508.10009765625,2720664,-1.9179576395485398,60.89990234375,-43.2001953125
2026-03-12,2442.39990234375,2442.39990234375,2472.89990234375,2436.0,2459.800048828125,2752075,-0.912815971902381,36.89990234375,-17.400146484375
2026-03-13,2410.5,2410.5,2445.89990234375,2397.0,2437.0,2466488,-1.3060884220122415,48.89990234375,-26.5
2026-03-16,2409.199951171875,2409.199951171875,2425.0,2366.10009765625,2410.0,3807907,-0.05393274541070081,58.89990234375,-0.800048828125
2026-03-17,2391.699951171875,2391.699951171875,2420.0,2360.0,2420.0,2993367,-0.7263822162825395,60.0,-28.300048828125
2026-03-18,2440.800048828125,2440.800048828125,2482.89990234375,2410.0,2410.0,3082388,2.0529371852097134,72.89990234375,30.800048828125
2026-03-19,2356.0,2356.0,2424.0,2350.199951171875,2417.0,2757060,-3.474272661901945,73.800048828125,-61.0
2026-03-20,2390.60009765625,2390.60009765625,2407.800048828125,2364.199951171875,2386.0,4206320,1.468594976920623,43.60009765625,4.60009765625
2026-03-23,2383.800048828125,2383.800048828125,2406.800048828125,2348.0,2365.0,3860515,-0.28444944994320265,58.800048828125,18.800048828125
2026-03-24,2398.800048828125,2398.800048828125,2435.39990234375,2379.10009765625,2404.10009765625,3420182,0.6292474071964982,56.2998046875,-5.300048828125
2026-03-25,2377.39990234375,2377.39990234375,2421.60009765625,2369.800048828125,2400.89990234375,5843778,-0.8921188114378031,51.800048828125,-23.5
2026-03-27,2389.800048828125,2389.800048828125,2422.10009765625,2385.0,2403.89990234375,4979411,0.5215843776282814,37.10009765625,-14.099853515625
2026-03-30,2358.89990234375,2358.89990234375,2398.0,2346.199951171875,2375.10009765625,6804756,-1.2930013328741552,51.800048828125,-16.2001953125
2026-04-01,2408.199951171875,2408.199951171875,2472.0,2397.89990234375,2429.0,4132661,2.089959339908476,74.10009765625,-20.800048828125
2026-04-02,2450.699951171875,2450.699951171875,2469.89990234375,2375.699951171875,2386.0,5378361,1.7648036235246467,94.199951171875,64.699951171875
2026-04-06,2473.89990234375,2473.89990234375,2482.0,2448.199951171875,2474.0,2572417,0.9466663252994723,33.800048828125,-0.10009765625
2026-04-07,2539.800048828125,2539.800048828125,2543.89990234375,2448.0,2461.0,4516550,2.6638162046064062,95.89990234375,78.800048828125
2026-04-08,2562.0,2562.0,2580.300048828125,2540.10009765625,2572.0,2447191,0.8740826342655605,40.199951171875,-10.0
